year,passengers_1000,passengers_million,mode
2015,31869.0,31.869,Air
2015,9521.0,9.521,Ferry
2015,269469.0,269.469,Rail
2016,34587.0,34.587,Air
2016,9778.0,9.778,Ferry
2016,272322.0,272.322,Rail
2017,34966.0,34.966,Air
2017,10198.0,10.198,Ferry
2017,270097.0,270.097,Rail
2018,36390.0,36.39,Air
2018,10852.0,10.852,Ferry
2018,273381.0,273.381,Rail
2019,36385.0,36.385,Air
2019,11041.0,11.041,Ferry
2019,290324.0,290.324,Rail
2020,9323.0,9.323,Air
2020,10286.0,10.286,Ferry
2020,201182.0,201.182,Rail
2021,11726.0,11.726,Air
2021,11183.0,11.183,Ferry
2021,211428.0,211.428,Rail
2022,27967.0,27.967,Air
2022,11119.0,11.119,Ferry
2022,301567.0,301.567,Rail
2023,32978.0,32.978,Air
2023,10920.0,10.92,Ferry
2023,334004.0,334.004,Rail
2024,36042.0,36.042,Air
2024,10931.0,10.931,Ferry
2024,349324.0,349.324,Rail
2025,267545.0,267.545,Rail
